comparison,question_type,metric,average_mean,average_std,average_min,average_max,count_sum,standard_error_mean
llmv1_vs_rev1,additional_stressors,Accuracy [GEval],0.5295,,0.5295,0.5295,185,0.0264
llmv1_vs_rev1,additional_stressors,Completeness [GEval],0.5778,,0.5778,0.5778,185,0.0274
llmv1_vs_rev1,additional_stressors,Contextual Precision,0.3362,,0.3362,0.3362,185,0.0305
llmv1_vs_rev1,additional_stressors,Contextual Recall,0.558,,0.558,0.558,185,0.0341
llmv1_vs_rev1,additional_stressors,Correctness [GEval],0.1946,,0.1946,0.1946,185,0.0292
llmv1_vs_rev1,additional_stressors,Faithfulness,0.8862,,0.8862,0.8862,185,0.0159
llmv1_vs_rev1,bee_species,Accuracy [GEval],0.6839,,0.6839,0.6839,194,0.0198
llmv1_vs_rev1,bee_species,Completeness [GEval],0.7142,,0.7142,0.7142,194,0.0199
llmv1_vs_rev1,bee_species,Contextual Precision,0.6443,,0.6443,0.6443,194,0.0256
llmv1_vs_rev1,bee_species,Contextual Recall,0.7696,,0.7696,0.7696,194,0.0293
llmv1_vs_rev1,bee_species,Correctness [GEval],0.2113,,0.2113,0.2113,194,0.0294
llmv1_vs_rev1,bee_species,Faithfulness,0.9725,,0.9725,0.9725,194,0.0107
llmv1_vs_rev1,experimental_methodology,Accuracy [GEval],0.6574,,0.6574,0.6574,191,0.0191
llmv1_vs_rev1,experimental_methodology,Completeness [GEval],0.6689,,0.6689,0.6689,191,0.0189
llmv1_vs_rev1,experimental_methodology,Contextual Precision,0.6624,,0.6624,0.6624,191,0.0191
llmv1_vs_rev1,experimental_methodology,Contextual Recall,0.9033,,0.9033,0.9033,191,0.0155
llmv1_vs_rev1,experimental_methodology,Correctness [GEval],0.2723,,0.2723,0.2723,191,0.0323
llmv1_vs_rev1,experimental_methodology,Faithfulness,0.9631,,0.9631,0.9631,191,0.0072
llmv1_vs_rev1,future_research,Accuracy [GEval],0.5947,,0.5947,0.5947,184,0.0262
llmv1_vs_rev1,future_research,Completeness [GEval],0.638,,0.638,0.638,184,0.0265
llmv1_vs_rev1,future_research,Contextual Precision,0.6195,,0.6195,0.6195,184,0.0287
llmv1_vs_rev1,future_research,Contextual Recall,0.7615,,0.7615,0.7615,184,0.0281
llmv1_vs_rev1,future_research,Correctness [GEval],0.288,,0.288,0.288,184,0.0335
llmv1_vs_rev1,future_research,Faithfulness,0.9798,,0.9798,0.9798,184,0.0056
llmv1_vs_rev1,pesticides,Accuracy [GEval],0.6295,,0.6295,0.6295,233,0.0164
llmv1_vs_rev1,pesticides,Completeness [GEval],0.6672,,0.6672,0.6672,233,0.0157
llmv1_vs_rev1,pesticides,Contextual Precision,0.9021,,0.9021,0.9021,233,0.0159
llmv1_vs_rev1,pesticides,Contextual Recall,0.915,,0.915,0.915,233,0.013
